"＊ Sorted by Index Futures,JGB Futures, Index Options (Put, Call), Options on 10-year JGB futures, Individual Options each in contract month numerical order.",,,,,,,,,,,
"＊ ""Theoretical price"" is used in calculating the price range of J-NET trading until 4 p.m. of the trading day.",,,,,,,,,,,
Issue Code,Issue Name,Put／Call,Contract Month,Strike Price,Settlement Price,Theoretical Price,Underlying Index,Volatility ,Interest Rate,Days until Maturity,Underlying Name
141063518,CAL_NK225_1606_13500,CAL,201606,13500,3180,3175,16675.45,50.1738,0.0164,3,Nikkei 225 
141063718,CAL_NK225_1606_13750,CAL,201606,13750,2930,2925,16675.45,50.1738,0.0164,3,Nikkei 225 
141063818,CAL_NK225_1606_13875,CAL,201606,13875,2810,2800,16675.45,50.1738,0.0164,3,Nikkei 225 
141064018,CAL_NK225_1606_14000,CAL,201606,14000,2680,2675,16675.45,50.1738,0.0164,3,Nikkei 225 
141064118,CAL_NK225_1606_14125,CAL,201606,14125,2560,2550,16675.45,50.1738,0.0164,3,Nikkei 225 
141064218,CAL_NK225_1606_14250,CAL,201606,14250,2430,2426,16675.45,50.1738,0.0164,3,Nikkei 225 
141064318,CAL_NK225_1606_14375,CAL,201606,14375,2310,2301,16675.45,50.1738,0.0164,3,Nikkei 225 
191064518,CAL_NK225_1606_14500,CAL,201606,14500,2180,2180,16675.45,69.4823,0.0164,3,Nikkei 225 
141064618,CAL_NK225_1606_14625,CAL,201606,14625,2060,2051,16675.45,50.1738,0.0164,3,Nikkei 225 
141064718,CAL_NK225_1606_14750,CAL,201606,14750,1930,1926,16675.45,50.1738,0.0164,3,Nikkei 225 
141064818,CAL_NK225_1606_14875,CAL,201606,14875,1810,1802,16675.45,50.1738,0.0164,3,Nikkei 225 
191065018,CAL_NK225_1606_15000,CAL,201606,15000,1710,1705,16675.45,76.1097,0.0164,3,Nikkei 225 
141065118,CAL_NK225_1606_15125,CAL,201606,15125,1590,1585,16675.45,73.9727,0.0164,3,Nikkei 225 
141065218,CAL_NK225_1606_15250,CAL,201606,15250,1460,1455,16675.45,66.6036,0.0164,3,Nikkei 225 
141065318,CAL_NK225_1606_15375,CAL,201606,15375,1340,1335,16675.45,64.196,0.0164,3,Nikkei 225 
191065518,CAL_NK225_1606_15500,CAL,201606,15500,1210,1205,16675.45,57.017,0.0164,3,Nikkei 225 
141065618,CAL_NK225_1606_15625,CAL,201606,15625,1090,1085,16675.45,54.2994,0.0164,3,Nikkei 225 
141065718,CAL_NK225_1606_15750,CAL,201606,15750,950,950,16675.45,45.1208,0.0164,3,Nikkei 225 
141065818,CAL_NK225_1606_15875,CAL,201606,15875,840,837,16675.45,45.0829,0.0164,3,Nikkei 225 
191066018,CAL_NK225_1606_16000,CAL,201606,16000,715,712,16675.45,39.8434,0.0164,3,Nikkei 225 
141066118,CAL_NK225_1606_16125,CAL,201606,16125,595,593,16675.45,35.946,0.0164,3,Nikkei 225 
141066218,CAL_NK225_1606_16250,CAL,201606,16250,475,473,16675.45,31.564,0.0164,3,Nikkei 225 
141066318,CAL_NK225_1606_16375,CAL,201606,16375,350,350,16675.45,26.068,0.0164,3,Nikkei 225 
191066518,CAL_NK225_1606_16500,CAL,201606,16500,230,230,16675.45,20.4758,0.0164,3,Nikkei 225 
141066618,CAL_NK225_1606_16625,CAL,201606,16625,165,165,16675.45,22.9662,0.0164,3,Nikkei 225 
141066718,CAL_NK225_1606_16750,CAL,201606,16750,90,90,16675.45,20.466,0.0164,3,Nikkei 225 
141066818,CAL_NK225_1606_16875,CAL,201606,16875,50,50,16675.45,20.6518,0.0164,3,Nikkei 225 
191067018,CAL_NK225_1606_17000,CAL,201606,17000,28,28,16675.45,21.5194,0.0164,3,Nikkei 225 
141067118,CAL_NK225_1606_17125,CAL,201606,17125,14,14,16675.45,21.8888,0.0164,3,Nikkei 225 
141067218,CAL_NK225_1606_17250,CAL,201606,17250,8,8,16675.45,23.1473,0.0164,3,Nikkei 225 
141067318,CAL_NK225_1606_17375,CAL,201606,17375,3,3,16675.45,22.7002,0.0164,3,Nikkei 225 
191067518,CAL_NK225_1606_17500,CAL,201606,17500,2,2,16675.45,24.4955,0.0164,3,Nikkei 225 
141067618,CAL_NK225_1606_17625,CAL,201606,17625,2,1,16675.45,26.5328,0.0164,3,Nikkei 225 
141067718,CAL_NK225_1606_17750,CAL,201606,17750,1,1,16675.45,28.0331,0.0164,3,Nikkei 225 
141067818,CAL_NK225_1606_17875,CAL,201606,17875,1,1,16675.45,30.7873,0.0164,3,Nikkei 225 
191068018,CAL_NK225_1606_18000,CAL,201606,18000,1,1,16675.45,33.4612,0.0164,3,Nikkei 225 
141068118,CAL_NK225_1606_18125,CAL,201606,18125,1,1,16675.45,36.1598,0.0164,3,Nikkei 225 
141068218,CAL_NK225_1606_18250,CAL,201606,18250,1,1,16675.45,38.7848,0.0164,3,Nikkei 225 
141068318,CAL_NK225_1606_18375,CAL,201606,18375,1,1,16675.45,41.3726,0.0164,3,Nikkei 225 
191068518,CAL_NK225_1606_18500,CAL,201606,18500,1,1,16675.45,43.9254,0.0164,3,Nikkei 225 
141068618,CAL_NK225_1606_18625,CAL,201606,18625,1,1,16675.45,45.9176,0.0164,3,Nikkei 225 
141068718,CAL_NK225_1606_18750,CAL,201606,18750,1,1,16675.45,48.9328,0.0164,3,Nikkei 225 
141068818,CAL_NK225_1606_18875,CAL,201606,18875,1,1,16675.45,50.3992,0.0164,3,Nikkei 225 
191069018,CAL_NK225_1606_19000,CAL,201606,19000,1,1,16675.45,53.3365,0.0164,3,Nikkei 225 
141069118,CAL_NK225_1606_19125,CAL,201606,19125,1,1,16675.45,56.1971,0.0164,3,Nikkei 225 
191069218,CAL_NK225_1606_19250,CAL,201606,19250,1,1,16675.45,56.1971,0.0164,3,Nikkei 225 
141069318,CAL_NK225_1606_19375,CAL,201606,19375,1,0,16675.45,56.1971,0.0164,3,Nikkei 225 
191069518,CAL_NK225_1606_19500,CAL,201606,19500,1,0,16675.45,56.1971,0.0164,3,Nikkei 225 
141069618,CAL_NK225_1606_19625,CAL,201606,19625,1,0,16675.45,56.1971,0.0164,3,Nikkei 225 
191069718,CAL_NK225_1606_19750,CAL,201606,19750,1,0,16675.45,56.1971,0.0164,3,Nikkei 225 
191060018,CAL_NK225_1606_20000,CAL,201606,20000,1,0,16675.45,56.1971,0.0164,3,Nikkei 225 
191060218,CAL_NK225_1606_20250,CAL,201606,20250,1,0,16675.45,56.1971,0.0164,3,Nikkei 225 
191060518,CAL_NK225_1606_20500,CAL,201606,20500,1,0,16675.45,56.1971,0.0164,3,Nikkei 225 
191060718,CAL_NK225_1606_20750,CAL,201606,20750,1,0,16675.45,56.1971,0.0164,3,Nikkei 225 
191061018,CAL_NK225_1606_21000,CAL,201606,21000,1,0,16675.45,56.1971,0.0164,3,Nikkei 225 
191061218,CAL_NK225_1606_21250,CAL,201606,21250,1,0,16675.45,56.1971,0.0164,3,Nikkei 225 
191061518,CAL_NK225_1606_21500,CAL,201606,21500,1,0,16675.45,56.1971,0.0164,3,Nikkei 225 
191061718,CAL_NK225_1606_21750,CAL,201606,21750,1,0,16675.45,56.1971,0.0164,3,Nikkei 225 
191062018,CAL_NK225_1606_22000,CAL,201606,22000,1,0,16675.45,56.1971,0.0164,3,Nikkei 225 
191062218,CAL_NK225_1606_22250,CAL,201606,22250,1,0,16675.45,56.1971,0.0164,3,Nikkei 225 
191062518,CAL_NK225_1606_22500,CAL,201606,22500,1,0,16675.45,56.1971,0.0164,3,Nikkei 225 
191062718,CAL_NK225_1606_22750,CAL,201606,22750,1,0,16675.45,56.1971,0.0164,3,Nikkei 225 
191063018,CAL_NK225_1606_23000,CAL,201606,23000,1,0,16675.45,56.1971,0.0164,3,Nikkei 225 
191063218,CAL_NK225_1606_23250,CAL,201606,23250,1,0,16675.45,56.1971,0.0164,3,Nikkei 225 
191063518,CAL_NK225_1606_23500,CAL,201606,23500,1,0,16675.45,56.1971,0.0164,3,Nikkei 225 
191063718,CAL_NK225_1606_23750,CAL,201606,23750,1,0,16675.45,56.1971,0.0164,3,Nikkei 225 
