"＊ Sorted by Index Futures,JGB Futures, Index Options (Put, Call), Options on 10-year JGB futures, Individual Options each in contract month numerical order.",,,,,,,,,,,
"＊ ""Theoretical price"" is used in calculating the price range of J-NET trading until 4 p.m. of the trading day.",,,,,,,,,,,
Issue Code,Issue Name,Put／Call,Contract Month,Strike Price,Settlement Price,Theoretical Price,Underlying Index,Volatility ,Interest Rate,Days until Maturity,Underlying Name
161090007,FUT_JGBLM_1609,　,201609,,151.34,,,,,201,10-year JGB
161030004,FUT_JGBM_1603,　,201603,,113.5,,,,,27,5-year JGB
161060004,FUT_JGBM_1606,　,201606,,113.5,,,,,117,5-year JGB
161090004,FUT_JGBM_1609,　,201609,,113.46,,,,,209,5-year JGB
161030002,FUT_JGBSL_1603,　,201603,,149.88,,,,,27,20-year JGB
161060002,FUT_JGBSL_1606,　,201606,,149.53,,,,,117,20-year JGB
161090002,FUT_JGBSL_1609,　,201609,,149.69,,,,,209,20-year JGB
141030518,CAL_NK225_1603_10500,CAL,201603,10500,5410,5410,15915.79,79.4725,0.0755,16,Nikkei 225 
141030718,CAL_NK225_1603_10750,CAL,201603,10750,5160,5160,15915.79,75.3534,0.0755,16,Nikkei 225 
141031018,CAL_NK225_1603_11000,CAL,201603,11000,4910,4910,15915.79,71.3176,0.0755,16,Nikkei 225 
141031218,CAL_NK225_1603_11250,CAL,201603,11250,4660,4660,15915.79,67.3603,0.0755,16,Nikkei 225 
141031518,CAL_NK225_1603_11500,CAL,201603,11500,4410,4410,15915.79,63.4767,0.0755,16,Nikkei 225 
141031718,CAL_NK225_1603_11750,CAL,201603,11750,4160,4160,15915.79,59.6624,0.0755,16,Nikkei 225 
141032018,CAL_NK225_1603_12000,CAL,201603,12000,3910,3910,15915.79,55.9128,0.0755,16,Nikkei 225 
141032218,CAL_NK225_1603_12250,CAL,201603,12250,3660,3660,15915.79,52.2236,0.0755,16,Nikkei 225 
141032518,CAL_NK225_1603_12500,CAL,201603,12500,3410,3410,15915.79,48.5906,0.0755,16,Nikkei 225 
141032718,CAL_NK225_1603_12750,CAL,201603,12750,3170,3160,15915.79,45.0094,0.0755,16,Nikkei 225 
141033018,CAL_NK225_1603_13000,CAL,201603,13000,2920,2915,15915.79,46.1378,0.0755,16,Nikkei 225 
141033118,CAL_NK225_1603_13125,CAL,201603,13125,2800,2790,15915.79,44.2334,0.0755,16,Nikkei 225 
141033218,CAL_NK225_1603_13250,CAL,201603,13250,2670,2670,15915.79,45.33,0.0755,16,Nikkei 225 
141033318,CAL_NK225_1603_13375,CAL,201603,13375,2550,2550,15915.79,45.6596,0.0755,16,Nikkei 225 
141033518,CAL_NK225_1603_13500,CAL,201603,13500,2440,2430,15915.79,45.5187,0.0755,16,Nikkei 225 
141033618,CAL_NK225_1603_13625,CAL,201603,13625,2330,2320,15915.79,47.9312,0.0755,16,Nikkei 225 
141033718,CAL_NK225_1603_13750,CAL,201603,13750,2210,2200,15915.79,46.9178,0.0755,16,Nikkei 225 
141033818,CAL_NK225_1603_13875,CAL,201603,13875,2090,2080,15915.79,45.7557,0.0755,16,Nikkei 225 
141034018,CAL_NK225_1603_14000,CAL,201603,14000,1970,1965,15915.79,45.469,0.0755,16,Nikkei 225 
141034118,CAL_NK225_1603_14125,CAL,201603,14125,1850,1850,15915.79,44.8879,0.0755,16,Nikkei 225 
141034218,CAL_NK225_1603_14250,CAL,201603,14250,1740,1735,15915.79,44.0646,0.0755,16,Nikkei 225 
141034318,CAL_NK225_1603_14375,CAL,201603,14375,1620,1620,15915.79,43.0333,0.0755,16,Nikkei 225 
