公司代號    收盤價      漲停價格     跌停價格
61271          105.10       112.45        97.75
61272          100.00       107.00        93.00
6128            31.90        34.10        29.70
6129            33.35        35.65        31.05
61291          122.00       130.50       113.50
公司代號    收盤價      漲停價格     跌停價格
--------  -----------  -----------  -----------

6130            39.90        42.65        37.15
6131            44.30        47.40        41.20
61311          193.00       206.00       180.00
6133            29.35        31.40        27.30
61331          185.00       197.00       173.00
6134            39.90        42.65        37.15
6135             5.97         6.38         5.56
6136            22.10        23.60        20.60
6138            55.00        58.80        51.20
61381          161.00       172.00       149.75
6139            59.60        63.70        55.50
6140            14.40        15.40        13.40
6141            49.00        52.40        45.60
61412          201.00       215.00       187.00
6142            36.80        39.35        34.25
61421          118.50       126.75       110.25
6143            62.30        66.60        58.00
6144            12.90        13.80        12.00
6145            26.40        28.20        24.60
61451          108.00       115.55       100.45
6146            46.20        49.40        43.00
6147            41.30        44.15        38.45
61471          166.00       177.00       155.00
61472          122.00       130.50       113.50
6148             8.51         9.10         7.92
6149            11.35        12.10        10.60
6150            35.00        37.45        32.55
61502          103.20       110.40        96.00
6151            19.95        21.30        18.60
6152            42.15        45.10        39.20
6153            28.55        30.50        26.60
61531          211.00       225.00       197.00
6154            77.20        82.60        71.80
6155            39.50        42.25        36.75
61551          129.00       138.00       120.00
6156            24.25        25.90        22.60
61561          116.00       124.10       107.90
6158            37.70        40.30        35.10
61581          146.95       157.00       136.70
6159            19.35        20.70        18.00
6160            79.60        85.10        74.10
6161            28.20        30.15        26.25
61612          187.00       200.00       174.00
6163            14.55        15.55        13.55
6164            28.10        30.05        26.15
6165            21.55        23.05        20.05
6166            40.55        43.35        37.75
61661          225.00       240.00       210.00
6167            15.10        16.15        14.05
61671          108.45       116.00       100.90
6168            39.05        41.75        36.35
6169            22.55        24.10        21.00
6170            36.75        39.30        34.20
6171            11.80        12.60        11.00
6172            11.60        12.40        10.80
6173            22.05        23.55        20.55
61731          203.00       217.00       189.00
公司代號    收盤價      漲停價格     跌停價格
--------  -----------  -----------  -----------

6174             4.08         4.36         3.80
61742           78.00        83.45        72.55
6175            10.00        10.70         9.30
6176            55.50        59.30        51.70
6177            23.05        24.65        21.45
6179            20.50        21.90        19.10
6180            35.75        38.25        33.25
6182           103.00       110.00        95.80
61822          385.00       411.00       359.00
61823          179.00       191.00       167.00
6183            16.25        17.35        15.15
6184            40.85        43.70        38.00
6185            25.40        27.15        23.65
61851          108.00       115.55       100.45
6186            29.20        31.20        27.20
61861          190.00       203.00       177.00
6187            32.20        34.45        29.95
61872          105.00       112.35        97.65
6188            46.80        50.00        43.55
6189            41.10        43.95        38.25
61891          149.10       159.00       138.70
61892          131.40       140.55       122.25
6190            23.90        25.55        22.25
61901          127.90       136.85       118.95
6191            59.60        63.70        55.50
6192            62.30        66.60        58.00
6194            68.00        72.70        63.30
6195            15.10        16.15        14.05
6196            25.80        27.60        24.00
61961          112.20       120.05       104.35
6197            96.00       102.50        89.30
6198            18.00        19.25        16.75
61981          130.50       139.60       121.40
6199            13.65        14.60        12.70
61992          101.05       108.10        94.00
6201            32.60        34.85        30.35
6202            66.00        70.60        61.40
6203            77.70      9995.00          .01
6204            88.80      9995.00          .01
6205            61.20        65.40        57.00
6206            92.80        99.20        86.40
6207            50.80        54.30        47.25
6208            33.00      9995.00          .01
62082          128.00       136.95       119.05
6209            52.70        56.30        49.05
6210            12.90        13.80        12.00
6211            24.00        25.65        22.35
6212            13.00        13.90        12.10
6213            30.60        32.70        28.50
62134          134.00       143.35       124.65
6214            36.55        39.10        34.00
6215            56.50        60.40        52.60
62151          303.00       324.00       282.00
6216            42.15        45.10        39.20
6217            14.30        15.30        13.30
6218            42.40        45.35        39.45
6219            11.00        11.75        10.25
公司代號    收盤價      漲停價格     跌停價格
--------  -----------  -----------  -----------

6220            28.50        30.45        26.55
6221            14.90        15.90        13.90
6222            12.20        13.05        11.35
62221          103.00       110.20        95.80
6223           108.50       116.00       101.00
62232          113.10       121.00       105.20
6224            44.90        48.00        41.80
6225            11.30        12.05        10.55
62251          102.00       109.10        94.90
6226            16.90        18.05        15.75
62261          170.00       181.00       159.00
6227            22.25        23.80        20.70
62271          102.00       109.10        94.90
6228            12.30        13.15        11.45
62281          113.00       120.90       105.10
6229            35.50        37.95        33.05
6230            40.55        43.35        37.75
6231            41.50        44.40        38.60
62311          149.95       160.00       139.50
6232            19.50        20.85        18.15
62321          138.05       147.70       128.40
6233            32.10        34.30        29.90
6234            57.90        61.90        53.90
62342          111.60       119.40       103.80
6235            33.30        35.60        31.00
6236             3.21         3.43         2.99
6237           214.50       229.50       199.50
6238             7.10         7.59         6.61
6239           122.00       130.50       113.50
6240            12.80        13.65        11.95
6241             6.68         7.14         6.22
6242            26.05        27.85        24.25
62421          195.00       208.00       182.00
6243           100.50       107.50        93.50
62432          256.00       273.00       239.00
6244           408.50       437.00       380.00
62441         2750.00      2940.00      2560.00
6244G1           3.00         5.85          .15
6244GA           3.00         5.85          .15
6244GD           3.00         5.85          .15
6245            39.45        42.20        36.70
62451          173.00       185.00       161.00
6246             9.27         9.91         8.63
6247            24.55        26.25        22.85
6248            15.70        16.75        14.65
62481          110.30       118.00       102.60
6250             7.85         8.39         7.31
6255            54.90        58.70        51.10
6257            23.20        24.80        21.60
6259            12.00        12.80        11.20
62591           99.00       105.90        92.10
6261            99.00       105.50        92.10
6263            63.80        68.20        59.40
6264            17.10        18.25        15.95
6265            21.50        23.00        20.00
62651          156.00       166.00       145.10
6266            14.30        15.30        13.30
公司代號    收盤價      漲停價格     跌停價格
--------  -----------  -----------  -----------

62661          130.00       139.10       120.90
6269            16.65        17.80        15.50
62691          102.00       109.10        94.90
6270            37.15        39.75        34.55
62701          115.00       123.05       106.95
6274            22.60        24.15        21.05
62741          133.50       142.80       124.20
6275            22.00        23.50        20.50
6276            15.30        16.35        14.25
6277           123.00       131.50       114.50
6278            91.80        98.20        85.40
6279            40.70        43.50        37.90
6280            90.00        96.30        83.70
6281            57.30        61.30        53.30
6282            14.90        15.90        13.90
6283            34.50        36.90        32.10
62831          122.00       130.50       113.50
6284            60.70        64.90        56.50
62841          112.70       120.55       104.85
6285            83.90        89.70        78.10
6286           351.00       375.50       326.50
6287             9.72        10.40         9.04
62871          116.00       124.10       107.90
6289            44.75        47.85        41.65
62891          163.00       174.00       152.00
62892          118.00       126.25       109.75
6290            26.30        28.10        24.50
62903          113.00       120.90       105.10
62904          111.50       119.30       103.70
6291            26.30        28.10        24.50
6292            24.00        25.65        22.35
6294             3.88         4.15         3.61
6298            45.65        48.80        42.50
6402            15.60        16.65        14.55
6505            73.40        78.50        68.30
6508            25.10        26.85        23.35
6509            30.80        32.95        28.65
6603            11.55        12.35        10.75
6605           102.00       109.00        94.90
66051          158.00       169.00       146.95
6609            30.40        32.50        28.30
70000F            .03      9995.00          .01
70175             .03         1.08          .01
70183             .03          .12          .01
70187             .06          .96          .01
70191             .03          .17          .01
70193             .01         1.91          .01
70194             .01          .81          .01
70195             .25          .46          .04
70196             .66         1.06          .26
70197             .70         2.80          .01
70198             .92         1.62          .18
70199P            .01         2.76          .01
70201             .03          .17          .01
70202             .23         1.13          .01
70203             .70         2.20          .01
70204             .50         2.00          .01
公司代號    收盤價      漲停價格     跌停價格
--------  -----------  -----------  -----------

70205            1.56         1.89         1.23
70206             .50         2.00          .01
70207            4.65         5.70         3.60
70208             .10          .24          .01
70209             .01          .10          .01
70211            1.80         2.13         1.47
70212            3.25         5.45         1.05
70213            1.20         2.55          .01
70214             .01          .15          .01
70215             .01          .91          .01
70216             .05          .85          .01
70217            5.15         7.30         3.00
70218             .12         1.52          .01
70219             .28          .68          .01
70221             .32         1.17          .01
70222             .23         1.28          .01
70223             .15         4.05          .01
70224             .01         1.41          .01
70225             .23          .42          .04
70226             .15          .46          .01
70227            3.30         5.45         1.15
70228            1.92         3.87          .01
70229            1.28         3.43          .01
70231            1.00         3.10          .01
70232            2.30         4.20          .40
70233             .14          .33          .01
70234            3.90         4.95         2.85
70235            1.21         3.96          .01
70236             .39         2.34          .01
70237             .17          .39          .01
70238            1.55         3.80          .01
70239             .20         1.60          .01
70241             .75         1.12          .38
70242            4.40         8.10          .70
70243             .32         3.07          .01
70244            6.00         7.15         4.85
70245            2.86         3.56         2.14
70246             .18          .56          .01
70247            1.48         2.12          .84
70248            7.35        11.00         3.65
70249             .50         2.40          .01
70251             .07          .21          .01
70252             .07          .16          .01
70253            6.15         7.30         5.00
70254             .10          .24          .01
70255             .31          .52          .10
70256             .33          .67          .01
70257             .38         1.28          .01
70258           10.00        20.00          .10
70259             .29         1.19          .01
70260           10.00        20.00          .10
70261             .16         1.56          .01
70262             .07          .92          .01
70263             .08          .93          .01
70264            1.70         2.40          .96
70265            2.45         4.70          .20
70266            2.35         5.40          .01
公司代號    收盤價      漲停價格     跌停價格
--------  -----------  -----------  -----------

70267             .25         1.65          .01
70268            1.27         3.37          .01
70269            2.00         4.20          .01
70271             .78         1.38          .18
70272            1.65         2.70          .60
70273             .67         2.17          .01
70274             .14          .35          .01
70275             .38         1.03          .01
70276             .22         1.07          .01
70277             .57         1.62          .01
70278             .61          .89          .33
70279            2.00         4.20          .01
70281             .24         2.14          .01
70282             .29         1.09          .01
70283             .70         3.55          .01
70284             .21          .62          .01
70285             .63         1.15          .11
70286             .29         1.19          .01
70287            1.40         2.90          .01
70288            1.09         1.67          .51
70289             .40         2.75          .01
70291            3.80         6.65          .95
70292             .24         1.64          .01
70293             .48         2.63          .01
70294            5.50         9.40         1.60
70295            2.89         5.00          .74
70296             .20         2.95          .01
70297             .48          .68          .28
70298            3.39         4.59         2.19
70299             .10          .31          .01
70301P           1.06         3.21          .01
70302             .17          .48          .01
70303             .38          .71          .05
70304             .46          .73          .19
70305            3.10         5.95          .25
70306             .11          .25          .01
70307             .05          .71          .01
70308             .09          .74          .01
70309            1.00         2.35          .01
70311            1.09         1.73          .45
70312             .20          .62          .01
70313            1.88         4.03          .01
70314             .45         1.30          .01
70315             .26          .64          .01
70316             .63         1.00          .26
70317             .79         1.59          .01
70318            1.54         3.04          .04
70319             .48         1.93          .01
70321            1.92         3.82          .02
70322            3.25         5.45         1.05
70323            2.00         3.05          .95
70324            1.50         3.60          .01
70325             .74         1.64          .01
70326             .11         1.16          .01
70327             .53         1.11          .01
70328            4.26         5.40         3.11
70329             .66          .94          .38
公司代號    收盤價      漲停價格     跌停價格
--------  -----------  -----------  -----------

70331             .33          .70          .01
70332             .57         1.37          .01
70333             .42         1.02          .01
70334             .66         3.41          .01
70335            3.45         6.20          .70
70336             .17          .36          .01
70337             .54          .76          .32
70338             .54          .76          .32
70339             .47          .74          .20
70341             .71          .99          .43
70342             .68         1.33          .01
70343            1.75         2.45         1.03
70344             .85         1.51          .19
70345            1.21         1.96          .46
70346            1.24         2.26          .22
70347             .60          .99          .21
70348P            .38          .77          .01
70349            2.82         3.97         1.67
70351             .86         1.25          .47
70352             .39          .48          .30
70353            1.59         1.98         1.20
70354            3.10         3.80         2.38
70355             .90         1.11          .69
70356             .57         1.27          .01
70357             .67         1.32          .01
70358             .38          .65          .11
70359             .42          .69          .15
70361            1.05         1.75          .31
70362             .51          .96          .06
70363             .24          .52          .01
70364             .85         1.22          .48
70365             .28          .49          .07
70366             .43          .70          .16
70367            1.33         2.75          .01
70368             .68         1.80          .01
70369            2.15         3.30         1.00
70371            4.15         5.70         2.60
70372            1.02         1.49          .55
70373            2.51         3.41         1.61
70374            6.30         9.10         3.50
70375            4.40         7.25         1.55
70376            1.48         2.18          .76
70377            1.00         1.64          .36
70378             .70         1.15          .25
70379            1.21         1.91          .51
70381            2.10         3.50          .70
70382            4.21         6.10         2.31
70383             .64         1.34          .01
70384            2.08         2.78         1.36
70385            1.60         2.65          .55
70386             .81         1.57          .05
70387             .86         1.71          .01
70388             .58         1.32          .01
70389            1.30         2.00          .58
70391             .40          .78          .02
70392             .65          .98          .32
70393            2.45         4.05          .85
公司代號    收盤價      漲停價格     跌停價格
--------  -----------  -----------  -----------

70396            2.54         3.89         1.19
70397            2.98         4.13         1.83
70398            3.46         5.35         1.56
70399            1.90         4.15          .01
70471            1.80         2.13         1.47
71184             .57          .75          .39
71453            1.33         1.74          .92
71454            3.25         4.82         1.68
71455            9.75        11.70         7.75
71767            3.00        10.00          .01
72350            4.00        10.00          .01
73999Q            .03      9995.00          .01
8008            28.25        30.20        26.30
8016           102.50       109.50        95.40
8021            74.60        79.80        69.40
80211          160.00       171.00       148.80
8024            68.10        72.80        63.40
8032            17.15        18.35        15.95
8033            35.75        38.25        33.25
8034            19.40        20.75        18.05
80341          141.00       150.00       131.15
8039            53.10        56.80        49.40
80391          126.00       134.80       117.20
8042            34.70        37.10        32.30
80421          295.00       315.00       275.00
8043            41.70        44.60        38.80
80431          145.00       155.00       134.85
8044            36.60        39.15        34.05
8046           200.50       214.50       186.50
8047            14.50        15.50        13.50
8049            15.80        16.90        14.70
80491          103.50       110.70        96.30
8050            90.50        96.80        84.20
8053            13.90        14.85        12.95
8054           176.50       188.50       164.50
8064            75.00        80.20        69.80
8066             5.50         5.88         5.12
8067            14.25        15.20        13.30
80671          105.00       112.35        97.65
8068            75.20        80.40        70.00
8069            23.00        24.60        21.40
80691          107.50       115.00       100.00
8070           154.50       165.00       144.00
80702          110.00       117.70       102.30
8071             7.13         7.62         6.64
80711          100.00       107.00        93.00
8072           160.00       171.00       149.00
8074            22.25        23.80        20.70
8076           570.00       609.00       531.00
80761          976.00      1040.00       908.00
80762          200.00       214.00       186.00
8077             8.41         8.99         7.83
80771          105.50       112.85        98.15
8078           120.00       128.00       112.00
8079            21.65        23.15        20.15
8080            31.15        33.30        29.00
8081           317.00       339.00       295.00
公司代號    收盤價      漲停價格     跌停價格
--------  -----------  -----------  -----------

8082            18.90        20.20        17.60
80821          221.00       236.00       206.00
8083            38.25        40.90        35.60
8084            18.25        19.50        17.00
80841          103.50       110.70        96.30
8085            24.30        26.00        22.60
80851          119.00       127.30       110.70
8087            12.25        13.10        11.40
80871          109.00       116.60       101.40
8088            26.30        28.10        24.50
8091            35.30        37.75        32.85
8092            17.60        18.80        16.40
80921          105.00       112.35        97.65
8093            45.20        48.35        42.05
8096            26.00        27.80        24.20
80961          112.80       120.65       104.95
8097            15.40        16.45        14.35
80971          143.60       153.00       133.55
8099            35.40        37.85        32.95
8101            35.60        38.05        33.15
81011          121.00       129.45       112.55
8103            65.10        69.60        60.60
81032          152.00       162.00       141.40
8105            41.60        44.50        38.70
8107            26.80        28.65        24.95
8109            50.90        54.40        47.35
8110            21.00        22.45        19.55
8111            47.40        50.70        44.10
8112            20.00        21.40        18.60
81121          112.50       120.35       104.65
81122          116.60       124.75       108.45
8114           109.50       117.00       102.00
8121            45.60        48.75        42.45
8182            35.60        38.05        33.15
8183            12.75        13.60        11.90
8210            29.80        31.85        27.75
8240           154.00       164.50       143.50
8249            47.30        50.60        44.00
82491          134.10       143.45       124.75
8255           214.00       228.50       199.50
8261            48.40        51.70        45.05
8266            20.00        21.40        18.60
8277            28.45        30.40        26.50
8287            26.30        28.10        24.50
8299           310.00       331.50       288.50
8349            30.10        32.20        28.00
8354            27.60        29.50        25.70
8374            47.40        50.70        44.10
8383            45.10        48.25        41.95
83831          143.55       153.00       133.55
8705            44.70        47.80        41.60
8905            14.40        15.40        13.40
8906             7.05         7.54         6.56
8908            14.30        15.30        13.30
8913             9.19         9.83         8.55
8916            12.50        13.35        11.65
8917            36.95        39.50        34.40
公司代號    收盤價      漲停價格     跌停價格
--------  -----------  -----------  -----------

8921            11.25        12.00        10.50
8923            14.85        15.85        13.85
8924            73.50        78.60        68.40
8925            32.10        34.30        29.90
89252          182.00       194.00       170.00
8926            19.00        20.30        17.70
89261          207.00       221.00       193.00
8927            11.45        12.25        10.65
8928            17.50        18.70        16.30
8929             9.51        10.15         8.85
8930            15.15        16.20        14.10
8931            14.15        15.10        13.20
8932            24.35        26.05        22.65
8933            13.35        14.25        12.45
8935            14.60        15.60        13.60
8936            22.20        23.75        20.65
89362          140.45       150.00       130.65
8937            22.20        23.75        20.65
8938            68.70        73.50        63.90
89381          140.00       149.80       130.20
8940            33.30        35.60        31.00
8941            30.85        33.00        28.70
89411          130.00       139.10       120.90
8942            59.00        63.10        54.90
89422          154.00       164.00       143.25
8996            25.50        27.25        23.75
9101             5.52         5.90         5.14
9102             5.32         5.69         4.95
9103            12.05        12.85        11.25
9104            43.80        46.85        40.75
9105             8.60         9.20         8.00
911001           5.52         5.90         5.14
916101          52.00        55.60        48.40
9301            75.00      9995.00          .01
9902             7.11         7.60         6.62
9904            36.25        38.75        33.75
9905            18.40        19.65        17.15
9906             1.30         1.39         1.21
9907            13.00        13.90        12.10
9908            18.25        19.50        17.00
9910            27.90        29.85        25.95
9911            10.05        10.75         9.35
9912            14.00        14.95        13.05
9914            49.60        53.00        46.15
9915            32.50        34.75        30.25
9917            57.40        61.40        53.40
9918            21.05        22.50        19.60
9919            16.95        18.10        15.80
9921            55.40        59.20        51.60
9922             1.90         2.03         1.77
9924            29.20        31.20        27.20
9925            30.70        32.80        28.60
9926            16.40        17.50        15.30
9927            34.35        36.75        31.95
9928            18.05        19.30        16.80
9929             4.81         5.14         4.48
9930            42.30        45.25        39.35
公司代號    收盤價      漲停價格     跌停價格
--------  -----------  -----------  -----------

9931            15.80        16.90        14.70
9933            28.00        29.95        26.05
9934            46.80        50.00        43.55
9935             9.81        10.45         9.13
9937            28.20        30.15        26.25
9938            31.45        33.65        29.25
99381          172.00       184.00       160.00
9939            29.75        31.80        27.70
9940            94.90       101.50        88.30
9941            21.65        23.15        20.15
9942            47.65        50.90        44.35
99421          157.00       167.00       146.05
9943            19.50        20.85        18.15
9944            31.60        33.80        29.40
99441          170.00       181.00       159.00
9945            29.15        31.15        27.15
9946            10.80        11.55        10.05
9949            74.50        79.70        69.30
9950            13.25        14.15        12.35
9951            49.50        52.90        46.05
9955            71.00        75.90        66.10
99551          330.00       353.00       307.00
9960            48.90        52.30        45.50
9962            48.00        51.30        44.65
