＊ 指数先物、国債先物、指数オプション、国債先物オプション、有価証券オプション順で、商品ごとに限月順で表示しております。,,,,,,,,,,,
＊ 記載されているオプション商品の「理論価格」は，当該取引日の16時までの間，J-NET取引の値幅を計算する際に用いる理論価格をいいます。,,,,,,,,,,,
銘柄コード,銘柄名称,PUT/CAL,限月,権利行使価格,清算価格,理論価格,原資産価格,ボラティリティ,金利,残日数,原資産名称
140121718,CAL_NK225_1512_11750,CAL,201512,11750,8110,8105,19847.58,100.8006,0.13,16,日経225
140122018,CAL_NK225_1512_12000,CAL,201512,12000,7860,7855,19847.58,97.0668,0.13,16,日経225
140122218,CAL_NK225_1512_12250,CAL,201512,12250,7610,7605,19847.58,93.405,0.13,16,日経225
140122518,CAL_NK225_1512_12500,CAL,201512,12500,7360,7355,19847.58,89.8118,0.13,16,日経225
140122718,CAL_NK225_1512_12750,CAL,201512,12750,7110,7105,19847.58,86.284,0.13,16,日経225
140123018,CAL_NK225_1512_13000,CAL,201512,13000,6860,6855,19847.58,82.8185,0.13,16,日経225
140123218,CAL_NK225_1512_13250,CAL,201512,13250,6610,6605,19847.58,79.4124,0.13,16,日経225
140123518,CAL_NK225_1512_13500,CAL,201512,13500,6360,6355,19847.58,76.0629,0.13,16,日経225
140123718,CAL_NK225_1512_13750,CAL,201512,13750,6110,6105,19847.58,72.7673,0.13,16,日経225
140124018,CAL_NK225_1512_14000,CAL,201512,14000,5860,5855,19847.58,69.5231,0.13,16,日経225
140124218,CAL_NK225_1512_14250,CAL,201512,14250,5610,5605,19847.58,66.3278,0.13,16,日経225
140124518,CAL_NK225_1512_14500,CAL,201512,14500,5360,5355,19847.58,63.179,0.13,16,日経225
140124718,CAL_NK225_1512_14750,CAL,201512,14750,5110,5105,19847.58,60.0743,0.13,16,日経225
140124818,CAL_NK225_1512_14875,CAL,201512,14875,4990,4985,19847.58,63.0737,0.13,16,日経225
140125018,CAL_NK225_1512_15000,CAL,201512,15000,4860,4855,19847.58,57.0113,0.13,16,日経225
140125118,CAL_NK225_1512_15125,CAL,201512,15125,4740,4735,19847.58,59.8444,0.13,16,日経225
140125218,CAL_NK225_1512_15250,CAL,201512,15250,4610,4605,19847.58,53.9879,0.13,16,日経225
140125318,CAL_NK225_1512_15375,CAL,201512,15375,4490,4485,19847.58,56.6543,0.13,16,日経225
